realx,realy
490,-109.93677
491,-109.93197
492,-109.92821
493,-109.92353
494,-109.91735
495,-109.91283
496,-109.91181
497,-109.90819
498,-109.90389
499,-109.899536
500,-109.894035
501,-109.889534
502,-109.88718
503,-109.88599
504,-109.887245
505,-109.887405
506,-109.885765
507,-109.885445
508,-109.88662
509,-109.88714
510,-109.88833
511,-109.89257
512,-109.89775
513,-109.90195
514,-109.903275
515,-109.89925
516,-109.891525
517,-109.88406
518,-109.87692
519,-109.87203
520,-109.86768
521,-109.864006
522,-109.85941
523,-109.85441
524,-109.84792
525,-109.84374
526,-109.83705
527,-109.831406
528,-109.82573
529,-109.8237
530,-109.822685
531,-109.82543
532,-109.82909
533,-109.831116
534,-109.83216
535,-109.83333
536,-109.834114
537,-109.83093
538,-109.826744
539,-109.82154
540,-109.81635
541,-109.81125
542,-109.80786
543,-109.80372
544,-109.801895
545,-109.79927
546,-109.80034
547,-109.799034
548,-109.79865
549,-109.79468
550,-109.78989
551,-109.78266
552,-109.778404
553,-109.77175
554,-109.76823
555,-109.76716
556,-109.76872
557,-109.77004
558,-109.774734
559,-109.77742
560,-109.781
561,-109.78324
562,-109.78724
563,-109.789185
564,-109.788765
565,-109.78481
566,-109.781906
567,-109.78057
568,-109.78251
569,-109.784325
570,-109.78669
571,-109.79237
572,-109.798195
573,-109.8032
574,-109.80853
575,-109.81262
576,-109.8177
577,-109.82388
578,-109.82911
579,-109.835526
580,-109.84288
581,-109.85021
582,-109.859344
583,-109.868126
584,-109.87729
585,-109.88661
586,-109.89558
587,-109.90259
588,-109.907486
589,-109.90895
590,-109.907394
591,-109.90583
592,-109.90307
593,-109.90082
594,-109.897095
595,-109.892525
596,-109.88763
597,-109.882454
598,-109.87656
599,-109.87027
600,-109.866806
601,-109.863754
602,-109.86207
603,-109.86268
604,-109.86621
605,-109.86903
606,-109.87181
607,-109.87161
608,-109.87211
609,-109.87299
610,-109.87128
611,-109.86916
612,-109.86837
613,-109.866516
614,-109.86166
615,-109.855865
616,-109.85199
617,-109.84766
618,-109.8487
619,-109.85306
620,-109.86369
621,-109.876305
622,-109.89334
623,-109.90916
624,-109.9216
625,-109.93025
626,-109.93844
627,-109.94203
628,-109.946304
629,-109.94878
630,-109.95206
631,-109.95151
