x,y
530,-117.48629
531,-117.995865
532,-118.520294
533,-119.014786
534,-119.53932
535,-120.03425
536,-120.52947
537,-121.05471
538,-121.54976
539,-122.04489
540,-122.585495
541,-123.062874
542,-123.589966
543,-124.10483
544,-124.59976
545,-125.12451
546,-125.6039
547,-126.12831
548,-126.62197
549,-127.13109
550,-127.625496
551,-128.14987
552,-128.64412
553,-129.16296
554,-129.66252
555,-130.15692
556,-130.69617
557,-131.20502
558,-131.66882
559,-132.20734
560,-132.68633
561,-133.19502
562,-133.73392
563,-134.22803
564,-134.73746
565,-135.23146
566,-135.75546
567,-136.24002
568,-136.7498
569,-137.27486
570,-137.7847
571,-138.27992
572,-138.79004
573,-139.31528
574,-139.78072
575,-140.3265
576,-140.81711
577,-141.31291
578,-141.82341
579,-142.34917
580,-142.84488
581,-143.33403
582,-143.86621
583,-144.3618
584,-144.88766
585,-145.39899
586,-145.88437
587,-146.41052
588,-146.92184
589,-147.41818
590,-147.92924
591,-148.44019
592,-148.93613
593,-149.4617
594,-149.95721
595,-150.49767
596,-150.97804
597,-151.48862
598,-152.01436
599,-152.49507
600,-153.0058
601,-153.53151
602,-154.04208
603,-154.53741
604,-155.05289
605,-155.5485
606,-156.0741
607,-156.5747
608,-157.0946
609,-157.58989
610,-158.08482
611,-158.60953
612,-159.1187
613,-159.61288
614,-160.12152
615,-160.6447
616,-161.12334
617,-161.64664
618,-162.15509
619,-162.66386
620,-163.17278
621,-163.65233
622,-164.16206
623,-164.67223
624,-165.17715
625,-165.70332
626,-166.18701
627,-166.71695
628,-167.21191
629,-167.72163
630,-168.23128
631,-168.7261
632,-169.26604
633,-169.76059
634,-170.23355
635,-170.75874
636,-171.27461
637,-171.79942
638,-172.30923
639,-172.80443
640,-173.31493
641,-173.80614
642,-174.32632
643,-174.8368
644,-175.33218
645,-175.84244
646,-176.35269
647,-176.87738
648,-177.37239
649,-177.86763
650,-178.40831
651,-178.8884
652,-179.41383
653,-179.90912
654,-180.42
655,-180.93044
656,-181.43097
657,-181.92145
658,-182.46747
659,-182.9785
660,-183.46571
661,-183.97064
662,-184.48131
663,-185.0069
664,-185.50168
665,-186.01157
666,-186.52173
667,-187.00098
668,-187.52586
669,-188.05049
670,-188.53008
671,-189.05472
672,-189.5345
673,-190.05994
674,-190.58401
675,-191.09354
676,-191.55792
677,-192.09782
678,-192.6047
679,-193.11774
680,-193.59772
681,-194.11266
682,-194.60762
683,-195.12457
684,-195.6431
685,-196.15349
686,-196.67867
687,-197.174
688,-197.64763
689,-198.19455
690,-198.69682
691,-199.21402
692,-199.70844
693,-200.20221
694,-200.71088
695,-201.21509
696,-201.72757
697,-202.23541
698,-202.7286
699,-203.26715
700,-203.75117
701,-204.24538
702,-204.77737
703,-205.274
704,-205.78845
705,-206.29799
706,-206.79257
707,-207.31088
708,-207.81862
709,-208.30803
710,-208.8337
711,-209.31427
712,-209.83244
713,-210.35019
714,-210.87534
715,-211.38596
716,-211.86592
717,-212.36087
718,-212.90106
719,-213.3963
720,-213.9215
721,-214.43222
722,-214.92787
723,-215.42366
724,-215.94958
725,-216.44519
726,-216.9559
727,-217.48187
728,-217.96785
729,-218.4891
730,-219.00009
731,-219.49638
732,-219.99792
733,-220.49422
734,-221.00517
735,-221.5454
736,-222.0553
737,-222.53491
738,-223.05957
739,-223.56905
740,-224.04848
741,-224.58768
742,-225.08691
743,-225.57114
744,-226.07957
745,-226.5878
746,-227.09615
747,-227.59006
748,-228.12961
749,-228.63972
750,-229.14987
751,-229.63005
752,-230.12535
753,-230.66574
754,-231.14603
755,-231.68643
756,-232.18163
757,-232.67696
758,-233.20248
759,-233.6982
760,-234.19917
761,-234.73526
762,-235.2016
763,-235.74284
764,-236.25868
765,-236.769
766,-237.26372
767,-237.75851
768,-238.25307
769,-238.79251
770,-239.28705
771,-239.81116
772,-240.27556
773,-240.82945
774,-241.32355
775,-241.81752
776,-242.33124
777,-242.81992
778,-243.34837
779,-243.8396
780,-244.3566
781,-244.85204
782,-245.31049
783,-245.8014
784,-246.26653
785,-246.70554
786,-247.14474
787,-247.58165
788,-247.97086
789,-248.38116
790,-248.73395
791,-249.1065
792,-249.43622
793,-249.77339
794,-250.08447
795,-250.36652
796,-250.65234
797,-250.92113
798,-251.16693
799,-251.39793
800,-251.60826
801,-251.80614
802,-252.00327
803,-252.18275
804,-252.33667
805,-252.50381
806,-252.64906
807,-252.78755
808,-252.9205
809,-253.04904
810,-253.16476
811,-253.27847
812,-253.38495
813,-253.488
814,-253.59055
815,-253.6956
816,-253.78377
817,-253.88322
818,-253.97946
819,-254.0731
820,-254.16933
821,-254.26193
822,-254.35219
823,-254.44347
824,-254.53429
825,-254.62946
826,-254.71432
827,-254.80951
828,-254.90433
829,-254.99614
830,-255.08224
831,-255.17903
832,-255.2663
833,-255.34956
834,-255.43892
835,-255.52861
836,-255.60928
837,-255.69832
838,-255.78027
839,-255.85876
840,-255.93945
841,-256.0107
842,-256.08374
843,-256.16174
844,-256.23035
845,-256.29828
846,-256.36002
847,-256.42618
848,-256.4848
849,-256.54132
850,-256.59753
851,-256.6425
852,-256.67313
853,-256.68857
854,-256.68097
855,-256.6432
856,-256.57462
857,-256.46356
858,-256.3213
859,-256.13422
860,-255.90938
861,-255.63335
862,-255.3383
863,-255.01039
864,-254.63132
865,-254.23434
866,-253.78223
867,-253.29984
868,-252.81966
869,-252.28844
870,-251.767
871,-251.22954
872,-250.64552
873,-250.08363
874,-249.47867
875,-248.91864
876,-248.31728
877,-247.69487
878,-247.08707
879,-246.49884
880,-245.89308
881,-245.29004
882,-244.69492
883,-244.09854
884,-243.5551
885,-242.94725
886,-242.38165
887,-241.82541
888,-241.30756
889,-240.79001
890,-240.23521
891,-239.72218
892,-239.23523
893,-238.74217
894,-238.28673
895,-237.78311
896,-237.3282
897,-236.8529
898,-236.41008
899,-235.97496
900,-235.52385
901,-235.07901
902,-234.63614
903,-234.19426
904,-233.7601
905,-233.33498
906,-232.89006
907,-232.439
908,-231.9809
909,-231.52861
910,-231.08014
911,-230.6264
912,-230.14725
913,-229.6676
914,-229.21948
915,-228.76106
916,-228.26541
917,-227.7589
918,-227.24835
919,-226.74814
920,-226.28833
921,-225.74876
922,-225.22957
923,-224.71904
924,-224.21396
