timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
1204360801,21644006,32.387425,-117.076276,131.00003,115.07079,-48.617275,-0.0010998534,-0.0068369247,0,-4.932522,0.061205868,-0.0018269812,-0.008158662,-0.022203542,-0.023427267,-0.3981666,2.503995,-8.151289,4.6418257,-3.094013,13.434407,40.004333,0.0018269812,0.26692393,0.31619897,0.1456944,0.11491993,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1204456970,21644006,32.387425,-117.076276,130.5284,115.071724,-48.61149,-0.0010998534,-0.0068369247,0,-4.9258733,0.06006778,-0.02274418,-0.023310665,-0.022203542,-0.023427267,-0.3981666,5.031992,0.12757303,-7.6956835,-3.1040268,13.434407,39.998547,0.02274418,0.2558181,0.31836563,0.14113954,0.11487865,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1204561688,21644006,32.387425,-117.076276,130.0116,115.06887,-48.605686,-0.0010998534,-0.0068369247,0,-4.939544,0.04351363,-0.026974997,-0.020815073,-0.022203542,-0.023427267,-0.3981666,4.4508476,1.622811,2.7649345,-3.117476,13.434407,39.992744,0.026974997,0.2670253,0.31935284,0.14582574,0.115560606,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1204665645,21644006,32.387425,-117.076276,129.49736,115.06624,-48.601044,-0.0010998534,-0.0068369247,0,-4.9470835,0.040571764,-0.030279826,-0.017923977,-0.022203542,-0.023427267,-0.3981666,1.5100002,0.37634152,-3.8923852,-3.13252,13.434407,39.988102,0.030279826,0.25683147,0.31823868,0.14166985,0.114861205,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1204762431,21644006,32.387425,-117.076276,129.01724,115.063225,-48.596054,-0.0010998534,-0.0068369247,0,-4.952085,0.04047392,-0.016889706,0.0008500903,-0.022203542,-0.023427267,-0.3981666,0.9644063,-1.1061103,4.4908357,3.1362107,13.434407,39.983112,0.016889706,0.2672325,0.31853443,0.1459591,0.1153659,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1204866415,21644006,32.387425,-117.076276,128.5001,115.0619,-48.59123,-0.0010998534,-0.0068369247,0,-4.97788,0.02763319,-0.033291005,-0.010061318,-0.022203542,-0.023427267,-0.3981666,0.9533308,-2.066378,6.8694644,3.1236339,13.434407,39.978287,0.033291005,0.25700447,0.31744277,0.14165331,0.11467706,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1204971276,21644006,32.387425,-117.076276,127.97722,115.05874,-48.5869,-0.0010998534,-0.0068369247,0,-4.989825,0.04050659,-0.06159688,-0.03141918,-0.022203542,-0.023427267,-0.3981666,-3.5164804,4.125146,1.6838664,3.1140287,13.434407,39.973957,0.06159688,0.26831284,0.3184431,0.14651392,0.115364745,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1205075200,21644006,32.387425,-117.076276,127.45797,115.05738,-48.58433,-0.0010998534,-0.0068369247,0,-5.0038548,0.03908675,-0.07122448,-0.035070185,-0.022203542,-0.023427267,-0.3981666,-3.8800435,-3.08448,5.371794,3.1062593,13.434407,39.97139,0.07122448,0.2577709,0.3173687,0.1422168,0.114679985,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1205171999,21644006,32.387425,-117.076276,126.975975,115.055756,-48.581234,-0.0010998534,-0.0068369247,0,-4.995294,0.052689426,-0.046939883,-0.0055086864,-0.022203542,-0.023427267,-0.3981666,1.1447054,-3.152169,3.8976054,3.1009626,13.434407,39.968292,0.046939883,0.2682258,0.3176921,0.14646998,0.11519401,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1205276028,21644006,32.387425,-117.076276,126.45643,115.05489,-48.578003,-0.0010998534,-0.0068369247,0,-4.9905214,0.064946644,-0.060142595,-0.013614334,-0.022203542,-0.023427267,-0.3981666,3.8013048,5.6644316,7.265825,3.1001139,13.434407,39.96506,0.060142595,0.25807375,0.31665042,0.14225605,0.11452735,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
